CITY,NAICSDESCR,X,Y
PROVO,CHURCHES,-111.6586675,40.293513
SALT LAKE CITY,CHURCHES,-111.8634589,40.6985441
FOWLER,CHURCHES,-119.6822772,36.6278761
FRESNO,CHURCHES,-119.7804475,36.7430008
FRESNO,CHURCHES,-119.7841978,36.7727523
PROVO,CHURCHES,-111.6345899,40.2329463
PROVO,CHURCHES,-111.6487525,40.2662418
PROVO,CHURCHES,-111.6730731,40.2485282
PROVO,CHURCHES,-111.6558559,40.2801466
MODESTO,CHURCHES,-121.0116609,37.6320467
SALT LAKE CITY,CHURCHES,-111.8141471,40.6995637
SALT LAKE CITY,PLACES OF WORSHIP,-111.9355617,40.7382259
PROVO,CHURCHES,-111.6670239,40.2479627
PROVO,CHURCHES,-111.6698496,40.2301626
PROVO,CHURCHES,-111.6387685,40.2749511
PROVO,CHURCHES,-111.7042658,40.2314444
PROVO,CHURCHES,-111.6704632,40.2387334
PROVO,CHURCHES,-111.6563856,40.2314564
PROVO,CHURCHES,-111.639852,40.2243293
PROVO,CHURCHES,-111.631094,40.2604906
PROVO,CHURCHES,-111.6636078,40.2967871
PROVO,CHURCHES,-111.652223,40.2724642
PROVO,CHURCHES,-111.708337,40.2420248
PROVO,CHURCHES,-111.6387688,40.2749475
PROVO,CHURCHES,-111.6730721,40.2485331
PROVO,CHURCHES,-111.6814537,40.2493971
PROVO,CHURCHES,-111.6640647,40.2822465
PROVO,CHURCHES,-111.6797402,40.2397453
SALT LAKE CITY,CHURCHES,-111.8547903,40.6736526
WEST JORDAN,CHURCHES,-111.9781766,40.5934616
OGDEN,CHURCHES,-111.9767086,41.2115484
OGDEN,CHURCHES,-111.9744904,41.2105888
BOISE,CHURCHES,-116.1929987,43.651301
MERCED,CHURCHES,-120.4887412,37.2893773
CARMICHAEL,CHURCHES,-121.3547708,38.6042878
SALT LAKE CITY,CHURCHES,-111.8735908,40.7307432
STOCKTON,CHURCHES,-121.2579011,38.0503173
PROVO,CHURCHES,-111.7083352,40.2419835
PROVO,CHURCHES,-111.6797433,40.23974
SALT LAKE CITY,CHURCHES,-111.8874145,40.7910016
PROVO,CHURCHES,-111.6636199,40.2967987
PROVO,CHURCHES,-111.6628763,40.2223314
PROVO,CHURCHES,-111.6493605,40.2360397
PROVO,CHURCHES,-111.6468837,40.2719315
PROVO,CHURCHES,-111.6559196,40.278018
PROVO,CHURCHES,-111.7042611,40.2314411
SALT LAKE CITY,CHURCHES,-111.8217628,40.7412448
PROVO,CHURCHES,-111.6704559,40.2387296
