NAME,CITY,STATE,COUNTY,NAICSDESCR,GEOLINKID,X,Y,SUBTYPE,DENOM,PROT,CATH
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - HARMONY PARK WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32064389,-111.8903856,40.6883116,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - EAST MILL CREEK 11TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32098868,-111.8146277,40.6964935,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MONUMENT PARK 20TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096373,-111.8101777,40.7473195,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - CANYON RIM 2ND WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32121186,-111.8061597,40.7059353,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - HEUGHS CANYON WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32101375,-111.8242301,40.6366727,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - STRATFORD EAST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097974,-111.8474324,40.7151444,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - STRATFORD WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32097974,-111.8474337,40.7151455,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - GARDEN HEIGHTS SOUTH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32098288,-111.8270207,40.7069217,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - EIGHTEENTH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32094883,-111.8907225,40.7698289,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - BONNEVILLE 2ND WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32096376,-111.8468087,40.7470611,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - TWENTY SEVENTH EAST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32094628,-111.8614945,40.7736278,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - KENWOOD 2ND WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32098485,-111.8408878,40.7035094,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - ROSE PARK 4TH WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32093479,-111.924439,40.7858676,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - WINDER 18TH (SPANISH) BRANCH,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100438,-111.8486316,40.6680064,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - SALT LAKE UNIVERSITY 12TH (STUDENT MARRIED) WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32130668,-111.8382172,40.7513407,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - MOUNT OLYMPUS 1ST WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32100391,-111.8002655,40.6699802,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - THIRTY THIRD WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32095542,-111.8590453,40.759255,CHRISTIAN,LDS,Y,N
THE CHURCH OF JESUS CHRIST OF LATTER DAY SAINTS - COTTONWOOD 3RD WARD,SALT LAKE CITY,UT,SALT LAKE,CHURCHES,32101375,-111.8242298,40.6366734,CHRISTIAN,LDS,Y,N
