Importer,Exporter,total
SG,BE,2
TH,BE,1
TH,BE,2
TH,DK,4
TH,ES,2
TH,ES,2
AE,AT,10
AE,BE,3
AE,BE,2
BD,BE,4
BH,KW,3
BH,KW,3
IR,KW,1
KW,BE,3
KW,HU,3
KW,HU,1
KW,PT,6
KW,SK,1
PH,BE,1
PH,BE,1
PH,CZ,3
PH,CZ,3
PH,DE,1
QA,US,1
US,ID,2
US,XX,1
VN,DE,1
XX,DE,1
XX,US,1
AE,AT,10
AE,DE,4
AE,NL,3
AE,NL,3
AO,NA,2
BD,BE,1
BD,BE,3
BD,NL,3
BD,NL,2
BD,NL,8
BD,NL,5
BD,NL,3
BH,KW,1
BH,KW,1
BN,NL,1
BN,NL,1
CA,US,1
CH,DE,1
CN,SR,2
DE,IL,26
DO,SR,2
ES,PE,0.1
GE,AZ,2
HK,BE,3
HK,BE,3
ID,BE,4
ID,IT,6
ID,NL,6
ID,NL,9
ID,NL,4
ID,NL,2
ID,NL,1
ID,NL,2
ID,NL,2
ID,NL,9
ID,SK,2
JP,US,1
KG,BE,1
KG,BE,1
KG,BE,1
KG,BE,2
KR,DE,1
KR,ES,3
KR,PH,2
KW,ES,9
KW,HU,3
KW,NL,5
KZ,RU,2
LK,CZ,2
MV,AE,2
MV,BE,2
MV,BE,1
MY,NL,2
MY,NL,6
MY,NL,2
MY,NL,11
NL,SG,22
NP,NL,2
NP,NL,2
NP,NL,4
OM,ZA,2
PH,BE,3
PH,BE,3
PK,BE,1
PK,BE,5
PK,NL,1
PK,NL,1
QA,KW,4
QA,ZA,7
RU,GE,2
SD,QA,1
TH,BE,2
TH,BE,3
TH,ES,2
TH,ES,10
TH,NL,1
TH,NL,4
TH,NL,7
TH,NL,3
US,CA,11
US,CR,1
US,DE,2
US,GB,1
US,PE,90
US,PE,130
US,PE,164
US,PE,924
US,SG,2
US,TH,1
VN,DE,3
VN,NL,1
VN,NL,2
VN,NL,1
ZA,NA,4
AE,NL,2
AE,NL,2
BD,BE,2
BD,NL,2
BD,NL,2
BN,NL,1
DE,IL,52
FR,MC,2
HK,NL,2
ID,NL,2
ID,NL,8
ID,NL,2
KG,KZ,1
KZ,RU,1
LV,RU,1
MY,NL,3
NL,SG,7
NL,US,2
NP,NL,2
PH,CZ,2
PH,CZ,2
QA,NL,6
QA,ZA,3
RU,LV,1
TH,ES,2
TH,ES,2
US,DE,2
US,GB,1
VN,NL,1
DE,ZA,4
FR,SG,4
MY,NL,1
NL,SG,6
OM,ZA,6
OM,ZA,6
PH,CZ,4
PH,CZ,4
QA,ZA,8
QA,ZA,4
TH,ES,9
TH,ES,6
DE,BR,1
DE,QA,3
QA,DE,2
AE,CZ,32
BR,DE,4
BR,PT,3
BR,PT,17
CW,NL,3
GH,NL,10
KW,CZ,35
LB,CZ,140
NO,DK,10
NP,NL,50
OM,NL,200
RU,UZ,1
TR,UZ,860
XX,DE,1
AE,CH,2
NP,NL,4
PH,CH,20
PH,DE,6
PH,DE,6
QA,AE,3
CH,DE,1
DE,IL,156
FR,BR,1
HK,PH,2
ID,NL,2
JP,PH,21
KW,SK,18
NO,DK,2
NO,DK,8
OM,ZA,2
OM,ZA,2
PA,NL,2
PH,DE,10
PH,DE,10
PH,DK,9
PH,DK,10
PH,FR,11
QA,ZA,15
SG,PH,2
TH,NL,4
TH,PH,10
TW,BE,1
TW,BE,2
TW,BE,1
TW,NL,3
US,SG,5
AE,BE,4
BD,BE,2
BD,NL,2
ID,NL,2
JP,US,2
NO,DK,1
SE,NO,1
PA,NL,1
PA,NL,1
PA,NL,2
QA,BE,1
QA,BE,1
QA,BE,4
QA,BE,2
CH,DE,2
AE,NL,8
PA,NL,3
TW,BE,1
TW,BE,5
GB,JE,2
GB,MU,260
PL,US,1
BR,NZ,15
CN,GB,1
US,NZ,2
AU,FR,0.055
AU,FR,0.16
TR,CO,3
OM,IT,1
AT,US,1
AT,US,1
KE,ZA,30
NA,ZA,6
RU,NA,2
US,NA,2
ZA,GB,0.3
ZA,GB,0.6
ZA,GB,0.25
ZA,GB,1.2
ZA,GB,1
ZA,GB,0.9
ZA,IE,4
ZA,NA,120
ZA,NA,542
AU,DE,1
AU,NZ,1
BE,ZA,5
DE,NA,1
MX,ES,1
MX,US,2
TR,AT,1
US,NA,1
US,ZA,3
ZA,MY,14
DE,MY,200
AU,DE,1
CN,IT,2
CN,ZA,1
CN,ZA,4
CN,ZA,1
DK,KE,2
GB,ZA,1
GB,ZA,2
HK,GB,1
HK,GB,1
HK,IT,2
KE,ZA,68
MX,US,1
SE,ZA,2
SG,AU,1
TT,US,1
TZ,CZ,1
US,NA,30
US,SE,2
US,ZA,48
ZA,GB,0.2
ZA,GB,0.15
ZA,GB,0.55
ZA,IE,4
ZA,NA,1160
ZA,ZM,2
HK,GB,1
HK,GB,1
JP,DE,1
CH,NL,1
HK,US,14
HK,US,2
HK,US,2
TR,GB,1
TR,GB,2
ZA,GB,0.25
ZA,GB,0.2
ZA,GB,0.05
ZA,GB,0.1
ZA,GB,0.05
ZA,GB,0.1
ZA,GB,0.2
FR,CH,2
HK,CH,4
HK,GB,4
HK,GB,8
HK,US,2
KE,ZA,29
NZ,PT,1
US,CN,41
US,GB,1
US,ID,1
US,ZA,3
ZA,SG,4
ZA,UG,20
TR,NL,18
US,MX,103
CN,GB,1
SG,IT,2
CA,US,2
CN,BE,2
CN,BE,11
CN,BE,5
CN,BE,3
CN,LV,2
CN,LV,2
CN,LV,2
CN,LV,22
CN,NL,12
CN,NL,4
CN,NL,20
IN,KR,8
JP,MM,10
KR,CZ,2
MM,JP,20
RU,CZ,3
TR,DE,8
TR,DE,10
TR,ES,12
DE,ZA,10
AT,US,6
CH,AE,6
DE,MA,24
FR,JP,4
FR,US,2
IT,US,1
IT,US,1
JP,FR,4
KR,CN,2
NL,RU,1
TT,US,12
TT,US,24
US,FR,3
US,FR,1
US,GB,2
US,IT,1
US,IT,1
BH,AE,3
CH,DE,1
DE,JE,4
FR,CH,1
ID,DE,2
ID,DE,18
KW,ES,2
QA,BE,1
QA,BE,3
QA,BE,7
CN,UZ,5
CN,UZ,5
US,MX,1
US,BE,1
US,BE,1
ES,MU,10
GG,JE,1
GI,JE,1
HK,MU,9
JE,GG,1
JP,MU,30
MG,IN,128
MG,IN,128
MG,KM,110
US,MG,500
US,MG,234
MG,IN,7
MG,IN,7
US,MG,65
US,MG,5
US,MG,375
US,MG,13
SG,CA,1
SG,CA,2
CH,DE,4
NL,CH,9
AE,BE,41
AE,BE,1
AT,CH,1
ES,CH,3
GB,JE,2
GB,JE,4
SG,FR,7
SG,NL,5
SG,NL,5
US,AT,2
CN,JP,2
CN,JP,2
US,AU,4
DE,BR,0.2
DE,BR,0.1
FR,SG,2
PL,SG,4
PT,US,80
US,CU,0.5
US,CU,2
US,CU,880
US,CU,71
US,FR,34
CN,CD,2
US,FR,1
CH,GB,1
US,MX,2
XX,DE,1
CN,US,2
CN,US,1
CN,US,2
JP,CN,10
KR,CN,2
GB,KH,1149.3
TH,ID,5
US,HK,33
US,KR,800
US,VN,2
CA,DK,8
CA,DK,4
AT,RU,1
CA,FR,1
FR,CA,1
HU,AE,1
US,CN,15
US,CN,96
US,HR,147
XX,DE,1
CN,KZ,2
GB,US,74
IT,US,2
IT,US,2
KG,KZ,1
KG,KZ,2
KZ,RU,2
US,CN,6
US,CN,17
US,CN,1
US,FR,1
US,GB,38
US,HK,7
US,IT,2
US,JP,8
US,JP,8
US,TH,1
US,VN,5
US,VN,4
US,VN,1
XX,IT,2
CA,US,1
CA,US,1
HU,GB,1
IN,US,4
DE,AU,50
JP,AU,50
NZ,AU,30
IT,ZA,5
US,ZA,1
JP,ZA,14
NA,ZA,12
GB,ZA,100
JP,ZA,3
JP,ZA,505
NA,ZA,2
JP,ZA,6
NA,ZA,1
DE,AU,6
JP,ZA,10
JP,ZA,28
NA,ZA,1
US,ZA,2
JP,ZA,1
US,ZA,1
FR,AU,2
JP,AU,110
NZ,AU,10
US,ZA,1
CZ,ZA,1
DE,ZA,5
JP,ZA,18
DE,AU,30
FR,AU,1
JP,AU,1
JP,AU,30
JP,ZA,14
NA,ZA,5
NZ,AU,105
US,ZA,15
JP,TH,5
JP,ZA,24
NA,ZA,12
NZ,AU,11
US,ZA,9
JP,ZA,6
US,ZA,1
US,ZA,2
JP,ZA,16
DE,AU,10
FR,AU,11
JP,ZA,28
NA,ZA,1
NZ,AU,40
US,ZA,5
US,ZA,1
DE,AU,10
FR,AU,2
JP,AU,3
JP,AU,1
JP,TH,1
JP,ZA,12
NA,ZA,7
NZ,AU,40
US,ZA,7
AG,US,6
AG,US,6
BL,US,3
JP,AU,1
JP,TH,2
JP,ZA,2
JP,ZA,49
KN,US,6
KN,US,8
NA,ZA,1
CZ,ZA,1
DE,ZA,34
GB,ZA,100
JP,ZA,25
NA,ZA,8
US,ZA,5
DE,ZA,9
JP,ZA,18
NA,ZA,1
US,ZA,7
DE,AU,40
DE,ZA,5
JP,ZA,15
NZ,AU,20
JP,ZA,11
US,ZA,3
JP,ZA,8
US,ZA,30
JP,ZA,1
DE,AU,40
JP,AU,8
JP,AU,1
JP,TH,24
JP,TH,26
JP,ZA,17
JP,ZA,814
NA,ZA,4
US,ZA,4
JP,ZA,3
US,ZA,1
DE,AU,15
FR,AU,1
JP,ZA,11
NA,ZA,2
NZ,AU,70
US,ZA,6
JP,ZA,21
NA,ZA,2
US,ZA,7
JP,TH,1
JP,ZA,38
NA,ZA,2
US,ZA,35
JP,ZA,17
NZ,AU,40
NA,ZA,1
US,ZA,95
CZ,ZA,1
DE,ZA,27
IT,ZA,1
JP,AU,9
JP,AU,23
JP,TH,3
JP,ZA,623
NA,ZA,7
NZ,AU,15
US,ZA,2
CZ,ZA,2
DE,ZA,1
GB,ZA,100
IT,ZA,1
JP,ZA,17
NA,ZA,6
FR,AU,2
JP,TH,1
JP,ZA,11
US,ZA,3
JP,ZA,11
JP,ZA,16
NZ,AU,60
DE,ZA,25
JP,TH,3
JP,ZA,4
NA,ZA,2
US,ZA,1
FR,AU,1
DE,AU,20
FR,AU,2
JP,ZA,69
NA,ZA,6
NZ,AU,85
NA,ZA,1
CZ,ZA,2
DE,ZA,22
JP,AU,23
JP,AU,11
JP,TH,1
JP,ZA,178
NA,ZA,2
NZ,AU,10
US,ZA,10
FR,AU,1
JP,AU,1
JP,AU,23
JP,ZA,4
US,ZA,50
NA,ZA,1
DE,ZA,15
JP,ZA,1
US,ZA,10
CZ,ZA,5
DE,ZA,10
JP,AU,23
JP,TH,2
JP,ZA,198
NA,ZA,1
DE,ZA,15
GB,ZA,100
JP,ZA,10
TH,ZW,1
US,AU,7
US,AU,8
US,AU,12
CA,DK,6
GB,AQ,8.5
GB,FK,1
GB,GS,25
CN,GB,18
FR,HK,1
HK,GB,1
HK,GB,17
HK,GB,17
US,GB,4
US,GB,5
AE,AT,3
QA,AT,1
AU,NL,1
AT,ZA,1
JP,MC,2
NL,RU,1
SG,NL,1
SG,NL,1
