Importer,Exporter,total
GB,OM,122
GB,US,11
GB,US,11
GB,US,2
GB,US,2
HK,CH,1
HK,FR,1
HK,GB,6
JP,FR,191.34
JP,FR,4
JP,GB,1
JP,IT,2
KR,SG,20
MX,ES,4
MX,FR,1
MY,GB,1
MY,GB,1
NL,US,2
PA,GB,1
PH,SG,1
PT,ST,223
PT,ST,223
RU,FR,11
SG,GB,1
SG,GB,1
SG,PH,1
SG,PH,1
SN,US,1
SN,US,3
TW,FR,1
US,BM,20
US,BS,200
US,CR,150
US,CU,1
US,DO,2
US,ET,1
US,FJ,18
US,FR,1
US,FR,1
US,FR,6
US,FR,1
US,FR,5
US,GB,16
US,GB,2
US,GB,7
US,GB,9
US,GB,10
US,MX,1
US,NI,273
US,NI,8
US,NL,2
US,SV,5078
US,TW,1
US,VG,1
HK,US,1
US,GD,1
US,PA,72
US,CA,5
BE,MV,4
CH,FR,1
DE,UY,50
GB,OM,14
KR,SG,1
PT,ST,1629
PT,ST,1629
US,CR,35
US,CR,156
US,CR,155
US,CR,750
US,AU,47
KP,CN,1
MX,FR,1
GB,JE,3
GB,JE,1
GB,JE,1
RU,CZ,4
SA,KW,50
AE,CN,15000
AE,CN,11000
AR,FR,0.375
AT,CH,331880.768
AT,CH,16.382
AU,CN,25853
AU,CN,562
BD,CN,500
BR,FR,0.1
CA,CN,1958
CA,CN,623.574
CA,CN,5000
CA,HK,3.348
CA,US,908
CH,DE,1474
CH,DE,2967
CH,FR,1.025
CO,FR,0.05
CZ,CN,1006
DE,CH,87
DE,CH,51144
DE,CH,53.344
DE,CH,9514
DE,CH,7.608
DE,CN,330
DE,CN,328
DK,US,24
DK,US,1
DK,US,0.892
DK,US,0.024
EG,CN,7000
FR,IN,5000
FR,IN,5000
GB,TW,30
HK,MY,372
HK,MY,745.2
HK,MY,210.812
HK,MY,372
HK,TH,2257.438
ID,FR,0.3
ID,HK,4.68
IL,US,6
JP,CN,49941
JP,CN,7206.69
JP,CN,11324
JP,TW,800
JP,TW,603.6
JP,TW,15.46
JP,TW,200
KR,CN,16000
KR,CN,203700
KR,CN,11010
KR,JP,1666.5
KR,JP,40013.4
KR,JP,32
MA,CN,14000
MX,FR,0.75
MY,CN,19440
MY,CN,400
MY,HK,362.88
NL,CN,100
NL,CN,170
NL,US,380
RU,CN,11000
RU,CN,20010
SA,CN,11000
SG,CN,4680
SG,CN,27.1
SG,HK,1433.67
SN,US,1
SZ,IN,1500
TH,CN,100
US,CN,80
US,CN,446
US,CN,1621
US,CN,1065
US,CN,947.545
US,CN,10
US,CN,225
US,CN,94
US,CN,3
US,FR,47.0301
US,HK,3.413
US,HK,1000
US,IN,400
US,IN,1
US,MY,1
US,TH,3
US,VN,27
US,VN,15
