source,target,value
Japan_Import,Unreported,78554.74
Kuwait_Import,Unreported,18
Luxembourg_Import,Unreported,1.2
Netherlands_Import,Unreported,30173
Norway_Import,Unreported,4
New Zealand_Import,Unreported,536
Sweden_Import,Unreported,1
Singapore_Import,Unreported,158
United States of America_Import,Unreported,72737.8
Belgium_Import,Actinopteri,20
China_Import,Actinopteri,184673
Czechia_Import,Actinopteri,5
Germany_Import,Actinopteri,19
Denmark_Import,Actinopteri,17
France_Import,Actinopteri,12
United Kingdom of Great Britain and Northern Ireland_Import,Actinopteri,331
Hong Kong_Import,Actinopteri,4673
Italy_Import,Actinopteri,71
Japan_Import,Actinopteri,7778
Malaysia_Import,Actinopteri,3056
Norway_Import,Actinopteri,23
New Zealand_Import,Actinopteri,68
Sweden_Import,Actinopteri,15
Singapore_Import,Actinopteri,3048
Slovakia_Import,Actinopteri,15
United States of America_Import,Actinopteri,209
United States of America_Import,Amphibia,1
United Arab Emirates_Import,Aves,6447
Austria_Import,Aves,53
Belgium_Import,Aves,2
Bahrain_Import,Aves,38
Bahamas_Import,Aves,4
China_Import,Aves,69.5
Czechia_Import,Aves,20
Germany_Import,Aves,639
Denmark_Import,Aves,701
Dominican Republic_Import,Aves,2
Spain_Import,Aves,81.1
France_Import,Aves,8
United Kingdom of Great Britain and Northern Ireland_Import,Aves,667
Georgia_Import,Aves,19
Greece_Import,Aves,2
Hong Kong_Import,Aves,12
Ireland_Import,Aves,5
India_Import,Aves,8
Italy_Import,Aves,2
Jersey_Import,Aves,1
Japan_Import,Aves,58
Kuwait_Import,Aves,5
Kazakhstan_Import,Aves,871
Lithuania_Import,Aves,1
Latvia_Import,Aves,2
Monaco_Import,Aves,4
Myanmar_Import,Aves,10
Netherlands_Import,Aves,2
Norway_Import,Aves,9
New Zealand_Import,Aves,1
Oman_Import,Aves,169
Philippines_Import,Aves,119
Portugal_Import,Aves,4
Qatar_Import,Aves,660
Serbia_Import,Aves,31
Sweden_Import,Aves,1
Singapore_Import,Aves,17
Slovenia_Import,Aves,6
Slovakia_Import,Aves,4
Turkey_Import,Aves,457
Trinidad and Tobago_Import,Aves,36
United States of America_Import,Aves,265
Uzbekistan_Import,Aves,34
Japan_Import,Coelacanthi,1
United States of America_Import,Elasmobranchii,19
United Arab Emirates_Import,Mammalia,1
Argentina_Import,Mammalia,21
Austria_Import,Mammalia,122
Belgium_Import,Mammalia,29.95
Bulgaria_Import,Mammalia,2
Belarus_Import,Mammalia,14
Chile_Import,Mammalia,27
China_Import,Mammalia,225
Cuba_Import,Mammalia,18.194
Czechia_Import,Mammalia,30
Germany_Import,Mammalia,5168.45
Denmark_Import,Mammalia,179
Estonia_Import,Mammalia,4
Spain_Import,Mammalia,153
Finland_Import,Mammalia,7
France_Import,Mammalia,5077.41
United Kingdom of Great Britain and Northern Ireland_Import,Mammalia,1470.3
Georgia_Import,Mammalia,7
Hong Kong_Import,Mammalia,1331.2
Croatia_Import,Mammalia,1
Hungary_Import,Mammalia,27
Ireland_Import,Mammalia,3
Isle of Man_Import,Mammalia,2
India_Import,Mammalia,4
Italy_Import,Mammalia,79
Jersey_Import,Mammalia,6
Japan_Import,Mammalia,1329
Kenya_Import,Mammalia,132.33
Kuwait_Import,Mammalia,6
Kazakhstan_Import,Mammalia,12
Lithuania_Import,Mammalia,5
Luxembourg_Import,Mammalia,1
Latvia_Import,Mammalia,2
Morocco_Import,Mammalia,12
Monaco_Import,Mammalia,11
Madagascar_Import,Mammalia,4
Macedonia (the former Yugoslav Republic of)_Import,Mammalia,1
Myanmar_Import,Mammalia,1
Mongolia_Import,Mammalia,4
Malaysia_Import,Mammalia,20.002
Netherlands_Import,Mammalia,35
Norway_Import,Mammalia,508
New Zealand_Import,Mammalia,226.0033
Oman_Import,Mammalia,89
Peru_Import,Mammalia,14
Philippines_Import,Mammalia,62
Pakistan_Import,Mammalia,4
Poland_Import,Mammalia,21
Portugal_Import,Mammalia,55
Qatar_Import,Mammalia,53
Romania_Import,Mammalia,4
Serbia_Import,Mammalia,4
Sweden_Import,Mammalia,16
Singapore_Import,Mammalia,125
Slovakia_Import,Mammalia,13
Tunisia_Import,Mammalia,16
Turkey_Import,Mammalia,12
Trinidad and Tobago_Import,Mammalia,7
Uganda_Import,Mammalia,68
United States of America_Import,Mammalia,15310.32
Uruguay_Import,Mammalia,2
Uzbekistan_Import,Mammalia,7
Austria_Import,Reptilia,5
Belgium_Import,Reptilia,5
China_Import,Reptilia,89561
Cuba_Import,Reptilia,1
Czechia_Import,Reptilia,11
Germany_Import,Reptilia,361
Denmark_Import,Reptilia,6
Spain_Import,Reptilia,28
France_Import,Reptilia,17085.86
United Kingdom of Great Britain and Northern Ireland_Import,Reptilia,52
Guernsey_Import,Reptilia,1
Greece_Import,Reptilia,1
Hong Kong_Import,Reptilia,272818.93
Hungary_Import,Reptilia,11
India_Import,Reptilia,160
Italy_Import,Reptilia,881
Jersey_Import,Reptilia,1
Japan_Import,Reptilia,23565.5
Monaco_Import,Reptilia,317
Madagascar_Import,Reptilia,247
Macao_Import,Reptilia,217
Malaysia_Import,Reptilia,343
Netherlands_Import,Reptilia,254
Norway_Import,Reptilia,6
New Zealand_Import,Reptilia,5
Philippines_Import,Reptilia,105
Portugal_Import,Reptilia,4656
Singapore_Import,Reptilia,81026
Turkey_Import,Reptilia,412
Uganda_Import,Reptilia,4
United States of America_Import,Reptilia,11614.76
