Year,App.,Class,Order,Importer,Exporter,Importer reported quantity,Exporter reported quantity,Term,Purpose,Source
2016,I,Mammalia,Artiodactyla,FR,ZA,1,,trophies,P,F
2016,I,Mammalia,Artiodactyla,HU,ZA,3,,trophies,H,F
2016,I,Mammalia,Artiodactyla,IT,US,,1,trophies,H,F
2016,I,Mammalia,Artiodactyla,IT,ZA,1,,trophies,H,F
2016,I,Mammalia,Artiodactyla,LT,ZA,1,,trophies,H,F
2016,I,Mammalia,Artiodactyla,MX,US,,1,trophies,H,C
2016,I,Mammalia,Artiodactyla,MX,US,,2,trophies,H,F
2016,I,Mammalia,Artiodactyla,OM,AE,,2,live,P,C
2016,I,Mammalia,Artiodactyla,PK,ZA,2,,trophies,H,W
2016,I,Mammalia,Artiodactyla,PT,ZA,1,,trophies,H,F
2016,I,Mammalia,Artiodactyla,RS,ZA,3,,trophies,H,F
2016,I,Mammalia,Artiodactyla,SE,ZA,3,,trophies,H,F
2016,I,Mammalia,Artiodactyla,SK,ZA,1,,bodies,H,F
2016,I,Mammalia,Artiodactyla,SK,ZA,5,,trophies,H,F
2016,I,Mammalia,Artiodactyla,TD,AE,,50,live,N,C
2016,I,Mammalia,Artiodactyla,US,BE,1,,fur product (small),T,I
2016,I,Mammalia,Artiodactyla,US,CA,454,,meat,H,I
2016,I,Mammalia,Artiodactyla,VN,AE,,3,live,Z,C
2016,I,Mammalia,Artiodactyla,VN,AE,,7,live,Z,C
2016,I,Mammalia,Artiodactyla,VN,AE,,3,live,Z,F
2016,I,Mammalia,Artiodactyla,VN,DE,,3,live,Z,C
2016,I,Mammalia,Artiodactyla,VN,PL,,2,live,Z,C
2016,I,Mammalia,Artiodactyla,CH,FR,,1,live,Z,C
2016,I,Mammalia,Artiodactyla,CH,GB,,1,live,Z,C
2016,I,Mammalia,Artiodactyla,CN,GB,1,,bodies,Q,O
2016,I,Mammalia,Artiodactyla,CZ,CH,2,,live,Z,C
2016,I,Mammalia,Artiodactyla,GB,QA,,8,specimens,S,F
2016,I,Mammalia,Artiodactyla,IT,US,,1,trophies,H,F
2016,I,Mammalia,Artiodactyla,KW,AE,3,3,live,P,C
2016,I,Mammalia,Artiodactyla,KW,AE,,4,live,T,C
2016,I,Mammalia,Artiodactyla,KW,AE,,3,live,T,F
2016,I,Mammalia,Artiodactyla,LT,ZA,1,,trophies,H,F
2016,I,Mammalia,Artiodactyla,MX,US,,1,trophies,H,F
2016,I,Mammalia,Artiodactyla,MX,US,,1,trophies,P,F
2016,I,Mammalia,Artiodactyla,OM,AE,43,63,live,P,C
2016,I,Mammalia,Artiodactyla,OM,AE,1,3,live,P,F
2016,I,Mammalia,Artiodactyla,OM,AE,,2,live,T,C
2016,I,Mammalia,Artiodactyla,PK,AE,,6,live,T,C
2016,I,Mammalia,Artiodactyla,QA,AE,31,59,live,P,C
2016,I,Mammalia,Artiodactyla,QA,AE,5,5,live,P,F
2016,I,Mammalia,Artiodactyla,QA,AE,17,28,live,T,C
2016,I,Mammalia,Artiodactyla,QA,AE,,12,live,T,F
2016,I,Mammalia,Artiodactyla,SA,AE,,138,live,P,C
2016,I,Mammalia,Artiodactyla,SA,AE,,20,live,P,F
2016,I,Mammalia,Artiodactyla,SA,AE,,26,live,T,C
2016,I,Mammalia,Artiodactyla,DK,NO,1,,trophies,H,W
2016,I,Mammalia,Artiodactyla,CH,FR,,27,garments,L,I
2016,I,Mammalia,Artiodactyla,FR,CH,27,,garments,L,I
2016,I,Aves,Coraciiformes,AT,BR,1,,live,Z,C
2016,I,Aves,Coraciiformes,KP,CN,,1,bodies,E,U
2016,I,Aves,Coraciiformes,TW,FR,,1,bodies,T,O
2016,I,Amphibia,Anura,TZ,US,,2100,live,N,F
2016,I,Aves,Psittaciformes,BH,QA,4,,live,T,C
2016,I,Aves,Psittaciformes,CA,DO,,1,live,P,F
2016,I,Aves,Psittaciformes,OM,ZA,1,,live,P,C
2016,I,Aves,Psittaciformes,OM,ZA,11,,live,T,C
2016,I,Aves,Psittaciformes,QA,ZA,20,,live,T,C
2016,I,Aves,Psittaciformes,TH,BH,,1,live,P,C
2016,I,Aves,Psittaciformes,US,DE,1,,live,P,F
2016,I,Aves,Psittaciformes,CH,FR,,3,live,B,C
2016,I,Aves,Psittaciformes,CH,FR,,3,live,T,C
2016,I,Aves,Psittaciformes,DE,CH,6,,live,T,C
2016,I,Aves,Psittaciformes,AE,PH,,2,live,P,C
2016,I,Aves,Psittaciformes,BR,PT,,2,live,T,C
2016,I,Aves,Psittaciformes,BR,PT,,2,live,T,C
2016,I,Aves,Psittaciformes,BS,US,1,,live,P,C
2016,I,Aves,Psittaciformes,BS,US,,1,live,Q,F
2016,I,Aves,Psittaciformes,CA,US,,1,live,P,C
2016,I,Aves,Psittaciformes,CA,US,,1,live,P,O
2016,I,Aves,Psittaciformes,CA,US,,2,live,P,F
2016,I,Aves,Psittaciformes,CR,US,,1,live,P,F
2016,I,Aves,Psittaciformes,DE,IL,26,,specimens,S,F
2016,I,Aves,Psittaciformes,DE,PH,1,1,live,T,C
2016,I,Aves,Psittaciformes,JP,SG,14,8,live,T,D
2016,I,Aves,Psittaciformes,KG,KZ,,1,live,Q,W
2016,I,Aves,Psittaciformes,KW,ES,,2,live,T,C
2016,I,Aves,Psittaciformes,KZ,RU,1,,live,Q,C
2016,I,Aves,Psittaciformes,NL,SG,,16,specimens,S,C
2016,I,Aves,Psittaciformes,OM,ZA,2,,live,P,C
2016,I,Aves,Psittaciformes,SR,NL,,1,live,T,C
2016,I,Aves,Psittaciformes,SR,NL,,1,live,P,F
2016,I,Aves,Psittaciformes,TW,SG,,30,live,T,D
2016,I,Aves,Psittaciformes,US,BS,,1,live,Q,C
2016,I,Aves,Psittaciformes,US,CA,1,,live,P,W
2016,I,Aves,Psittaciformes,US,CA,1,,live,P,O
2016,I,Aves,Psittaciformes,US,SG,,2,specimens,S,C
2016,I,Aves,Psittaciformes,BH,BE,,1,live,T,C
